"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.52158958517483e-50,0.574818246994115,0.98,0.967,1.03151079571088e-45,"0","RPL7"
7.57873616428033e-50,0.732067868008857,0.911,0.777,1.0393478775694e-45,"0","RPL22"
7.81305693388028e-50,0.598640412856037,0.965,0.887,1.07148262791234e-45,"0","RPL36A"
8.70215356239754e-49,0.584034431853515,0.947,0.867,1.1934133395472e-44,"0","EEF1B2"
1.94295688433313e-47,1.19891324066858,0.629,0.359,2.66457107117446e-43,"0","NOSIP"
3.74962676294353e-47,0.323458821404844,0.999,0.992,5.14223814270075e-43,"0","RPL18A"
7.46525979832189e-47,0.33011414759982,1,0.995,1.02378572874186e-42,"0","RPS2"
1.32256466390575e-46,0.434586918070971,0.997,0.984,1.81376518008035e-42,"0","RPS8"
3.79619933510217e-46,0.366090533482966,0.999,0.992,5.20610776815912e-42,"0","RPS19"
7.24613062639578e-46,0.467452297086463,0.978,0.957,9.93734354103917e-42,"0","RPL17"
2.80608717233912e-44,1.52619972692082,0.443,0.185,3.84826794814587e-40,"0","PIK3IP1"
1.07067876580259e-43,0.72578709917314,0.915,0.903,1.46832885942168e-39,"0","JUNB"
6.26944309951854e-43,1.9853073488952,0.33,0.112,8.59791426667972e-39,"0","PRKCQ-AS1"
7.36391539321351e-43,0.824690568522161,0.846,0.7,1.0098873570253e-38,"0","TMEM66"
4.54089195948434e-42,0.626258935417263,0.944,0.859,6.22737923323683e-38,"0","BTG1"
2.49582446701532e-41,0.620652560292021,0.92,0.803,3.42277367406481e-37,"0","GLTSCR2"
5.92668722464789e-41,0.51845726062175,0.965,0.898,8.12785885988212e-37,"0","RPS26"
1.17786040315596e-40,0.876490554133847,0.582,0.293,1.61531775688808e-36,"0","CD7"
3.21858172214851e-38,0.549429350453165,0.947,0.874,4.41396297375447e-34,"0","RPL38"
3.94681986572475e-37,0.535228056938789,0.94,0.839,5.41266876385492e-33,"0","RPS21"
5.93911728033835e-37,0.313020612646913,1,0.996,8.14490543825601e-33,"0","RPLP1"
8.84133676096078e-37,0.413592014615173,0.991,0.965,1.21250092339816e-32,"0","RPL35"
3.69332013896329e-36,0.902346696046702,0.604,0.332,5.06501923857426e-32,"0","IL7R"
9.08627377764393e-36,0.299262748360421,1,0.989,1.24609158586609e-31,"0","RPL12"
9.46641904938969e-36,0.431917354065279,0.984,0.942,1.2982247084333e-31,"0","RPL24"
1.33987757563284e-34,1.95636752128716,0.268,0.087,1.83750810722288e-30,"0","MAL"
1.9955414246562e-34,1.33771220403719,0.393,0.177,2.73668550977351e-30,"0","TCF7"
8.62028595847422e-33,0.396611457532883,0.987,0.945,1.18218601634515e-28,"0","RPL37A"
7.13848465092113e-32,0.429035782748769,0.987,0.943,9.78971785027323e-28,"0","RPL37"
4.18830312282893e-31,0.932040863138955,0.699,0.492,5.7438389026476e-27,"0","C6orf48"
1.51190372299163e-29,0.588089144920312,0.845,0.698,2.07342476571072e-25,"0","RPSAP58"
2.51129160237332e-29,0.49523299182755,0.94,0.869,3.44398530349478e-25,"0","RPS4Y1"
8.31237821696421e-29,0.923462347812656,0.399,0.184,1.13995954867447e-24,"0","CD27"
8.90673265889199e-29,0.370671578420735,0.975,0.952,1.22146931684045e-24,"0","RPL27"
6.47773486350357e-28,0.592990033369222,0.927,0.904,8.8835655918088e-24,"0","RPL34"
2.34965748725409e-26,0.326285669313309,0.985,0.975,3.22232027802026e-22,"0","RPL7A"
2.67222258034836e-26,0.28671025442536,0.999,0.992,3.66468604668975e-22,"0","RPL6"
5.17491057685702e-26,0.391925971190557,0.898,0.636,7.09687236510172e-22,"0","LTB"
5.21215650524643e-26,1.10199651702594,0.404,0.209,7.14795143129496e-22,"0","LEPROTL1"
8.5423952465449e-26,0.283149137494198,0.996,0.996,1.17150408411117e-21,"0","RPL15"
1.33240305266375e-21,1.05390475623038,0.36,0.185,1.82725754642307e-17,"0","RGCC"
1.65892728961403e-21,0.665465123241869,0.64,0.442,2.27505288497668e-17,"0","AES"
8.54797543553425e-21,0.527017347655631,0.608,0.425,1.17226935122917e-16,"0","SELL"
1.31152586329219e-20,0.27329933780481,0.997,0.987,1.79862656891891e-16,"0","RPS7"
1.46009293780022e-20,0.807340191175603,0.504,0.311,2.00237145489922e-16,"0","LCK"
3.30470894267082e-20,0.825609391420831,0.415,0.241,4.53207784397876e-16,"0","GIMAP5"
4.38154739974158e-20,0.769931576902596,0.55,0.385,6.00885410400561e-16,"0","TMEM123"
5.42518901134104e-20,0.250705602357167,0.996,0.991,7.4401042101531e-16,"0","RPL26"
1.8253087826038e-19,1.05763450128982,0.444,0.283,2.50322846446285e-15,"0","NDFIP1"
2.03962862572717e-19,1.1084863088827,0.425,0.258,2.79714669732224e-15,"0","C12orf57"
5.36187874217995e-19,1.35868439886823,0.276,0.137,7.35328050702558e-15,"0","FLT3LG"
1.44771704832624e-18,0.322240838734531,0.961,0.919,1.98539916007461e-14,"0","HNRNPA1"
1.48078021759053e-18,1.04677036740863,0.37,0.208,2.03074199040366e-14,"0","RHOH"
2.2548496370798e-18,0.873794973001624,0.338,0.178,3.09230079229124e-14,"0","CD3G"
4.08008250392588e-18,0.470323635952043,0.838,0.758,5.59542514588396e-14,"0","TOMM7"
2.36247619347421e-16,1.09741462245455,0.27,0.139,3.23989985173053e-12,"0","TRAT1"
3.06657352432355e-16,0.68483854152802,0.531,0.377,4.20549893125732e-12,"0","RGS10"
6.47312318751586e-16,0.512988164079715,0.734,0.61,8.87724113935925e-12,"0","HINT1"
7.40992541798104e-16,0.887812625975785,0.401,0.255,1.01619717182192e-11,"0","GYPC"
2.55256834671589e-15,0.995483750143194,0.395,0.256,3.50059223068618e-11,"0","DNAJB1"
6.77937855461769e-15,0.537957893674049,0.74,0.606,9.2972397498027e-11,"0","EIF4A2"
2.39792445250246e-14,0.314887705355809,0.905,0.841,3.28851359416188e-10,"0","RPL23"
1.03800632187146e-13,0.289487422781483,0.963,0.967,1.42352186981451e-09,"0","EEF1D"
2.21309834351573e-13,0.503859371894375,0.68,0.575,3.03504306829747e-09,"0","COMMD6"
3.93337995390689e-13,0.759224967626893,0.325,0.192,5.39423726878791e-09,"0","OCIAD2"
7.4684511623837e-13,0.418456423624835,0.769,0.642,1.0242233924093e-08,"0","HSPA8"
2.07714414501767e-12,0.37110375932776,0.893,0.849,2.84859548047724e-08,"0","PABPC1"
3.20111497099222e-12,0.726235473588217,0.564,0.454,4.39000907121873e-08,"0","TRAF3IP3"
3.81544548860786e-12,0.538517062047037,0.462,0.338,5.23250194307682e-08,"0","FYB"
5.59253093748831e-12,0.512803300207195,0.633,0.497,7.66959692767147e-08,"0","EVL"
7.29702569429794e-12,0.577775007356964,0.598,0.483,1.00071410371602e-07,"0","SOD1"
1.35007555842623e-11,0.759519406335101,0.38,0.259,1.85149362082574e-07,"0","PRDX2"
1.77721611946842e-11,0.458361748360304,0.732,0.624,2.43727418623899e-07,"0","ZFP36L2"
3.35640702565657e-11,0.723303244968012,0.339,0.222,4.60297659498543e-07,"0","SLC2A3"
8.34602209066743e-11,0.318697585439406,0.423,0.282,1.14457346951413e-06,"0","CD2"
8.43078905995138e-11,0.304922199996739,0.788,0.715,1.15619841168173e-06,"0","SRSF5"
1.30736430426108e-10,0.538995998629372,0.471,0.35,1.79291940686365e-06,"0","PEBP1"
1.71770996596132e-10,0.326451327990993,0.697,0.567,2.35566744731936e-06,"0","CXCR4"
2.04007206034019e-10,0.873620198681042,0.392,0.272,2.79775482355054e-06,"0","ACAP1"
3.57106130327344e-10,0.405238032846369,0.757,0.677,4.8973534713092e-06,"0","COX7C"
5.93426848598908e-10,0.701844982109165,0.303,0.191,8.13825580168542e-06,"0","LAT"
6.06088767725448e-10,0.727586660501766,0.48,0.376,8.3119013605868e-06,"0","ST13"
7.62037086528499e-10,0.321318333702552,0.621,0.512,1.04505766046518e-05,"0","GIMAP7"
1.52321189256184e-09,0.915515313379856,0.26,0.164,2.0889327894593e-05,"0","PSIP1"
4.39652833063782e-09,0.447988978968181,0.636,0.546,6.02939895263671e-05,"0","SNRPD2"
4.97682937744669e-09,0.404120918812191,0.424,0.314,6.82522380823039e-05,"0","CYTIP"
5.90857182629095e-09,0.299628429969306,0.87,0.794,8.10301540257541e-05,"0","DDX5"
8.42920592586969e-09,0.587729058654502,0.387,0.291,0.000115598130067377,"0","PPA1"
8.70379270693245e-09,0.637509194184918,0.437,0.336,0.000119363813182872,"0","BTG2"
1.26869697303592e-08,0.39005114988852,0.455,0.328,0.000173989102882146,"0","CD69"
1.42196652129537e-08,0.32896033152074,0.776,0.731,0.000195008488730447,"0","JUN"
1.65890844556388e-08,0.642623911172534,0.405,0.301,0.000227502704224631,"0","RSL1D1"
2.13251395075156e-07,0.709541692601054,0.308,0.223,0.00292452963206069,"0","EEF1G"
3.14733080616743e-07,0.306253970903139,0.741,0.666,0.00431624946757802,"0","NBEAL1"
4.94070655145731e-07,0.455069562206638,0.471,0.387,0.00677568496466855,"0","UXT"
9.10132319218234e-07,0.542893763529029,0.433,0.356,0.0124815546257589,"0","EIF3E"
2.04716905978228e-06,0.689172996433523,0.387,0.306,0.0280748764858542,"0","CCDC109B"
4.10756679293839e-06,0.354691392170499,0.389,0.294,0.0563311709983571,"0","STK17A"
6.07409276929645e-06,0.60215809542796,0.27,0.188,0.0833001082381315,"0","SPOCK2"
9.1173347566842e-06,0.252218985100605,0.912,0.89,0.125035128853167,"0","BTF3"
1.18355010002004e-05,0.267304829456003,0.192,0.281,0.162312060716749,"0","NDUFA2"
2.41804325268174e-05,0.488752014896531,0.485,0.418,0.331610451672774,"0","CUTA"
2.45315700800306e-05,0.310900495052679,0.585,0.528,0.33642595207754,"0","RPL41"
3.0373050524358e-05,0.492173120389892,0.427,0.359,0.416536014891045,"0","MZT2B"
3.35359613402976e-05,0.255145893474529,0.541,0.448,0.459912173820841,"0","RARRES3"
4.60283913621997e-05,0.616024769191088,0.278,0.212,0.631233359141207,"0","CITED2"
6.30313168137594e-05,0.752869920480254,0.301,0.233,0.864411478783896,"0","SNHG8"
9.96083111013525e-05,0.545513693489463,0.325,0.257,1,"0","RPL39"
0.000146655573259423,0.337215549531382,0.727,0.654,1,"0","TMA7"
0.000178878268192758,0.463857852545252,0.308,0.245,1,"0","MZT2A"
0.00022790295448991,0.360287795795238,0.254,0.19,1,"0","SBDS"
0.000254110042129155,0.299968573587041,0.675,0.615,1,"0","CCNI"
0.000324138745572744,0.404738746432455,0.256,0.196,1,"0","EIF2S3"
0.000350395889346217,0.462000009170035,0.313,0.256,1,"0","TOMM20"
0.000486900610035537,0.491181038500963,0.354,0.301,1,"0","SON"
0.000603341502835165,0.398100436619518,0.3,0.233,1,"0","BIN1"
0.000648564453607734,0.451299535309917,0.348,0.292,1,"0","SF1"
0.000703483805850232,0.343686462142007,0.279,0.217,1,"0","CDC42SE2"
0.000869622063707224,0.340508652735782,0.421,0.362,1,"0","CMPK1"
0.000986178312541475,0.308427065724573,0.494,0.447,1,"0","GIMAP4"
0.00155070281388895,0.290986621864738,0.519,0.481,1,"0","ZFAS1"
0.00163635290369979,0.736817309184982,0.265,0.212,1,"0","MRPS21"
0.00245094430069394,0.584695005636169,0.291,0.245,1,"0","PCNP"
0.00259331410246958,0.373706644008834,0.431,0.386,1,"0","NDUFS5"
0.00302667883538225,0.617594784814763,0.269,0.221,1,"0","SEPT1"
0.00890593599455375,0.264355780201841,0.399,0.364,1,"0","C1QBP"
0.00926764176658336,0.25537211849212,0.352,0.316,1,"0","GIMAP1"
0,6.64505608845263,0.975,0.121,0,"1","S100A8"
0,5.651790479768,0.909,0.059,0,"1","LGALS2"
0,6.18144673331318,0.996,0.215,0,"1","S100A9"
1.70946713461071e-321,4.06178234726513,0.952,0.15,2.34436322840513e-317,"1","FCN1"
1.03495244101648e-295,5.98417657388839,0.667,0.027,1.41933377761e-291,"1","CD14"
1.0052190895312e-284,3.27199969585116,0.994,0.265,1.37855745938308e-280,"1","TYROBP"
1.65951876025223e-278,5.34534971742333,0.686,0.041,2.2758640278099e-274,"1","MS4A6A"
2.07820498066081e-269,3.20363062442605,0.992,0.266,2.85005031047824e-265,"1","CST3"
3.89129891956654e-268,4.74235792649738,1,0.516,5.33652733829356e-264,"1","LYZ"
8.82235574830444e-241,3.12966745209758,0.919,0.222,1.20989786732247e-236,"1","TYMP"
9.73925769506141e-233,3.15634919894787,0.786,0.106,1.33564180030072e-228,"1","CFD"
1.50546401383709e-229,2.25061646878148,0.958,0.223,2.06459334857619e-225,"1","LST1"
2.36852481706531e-229,2.79457055922374,0.979,0.365,3.24819493412337e-225,"1","LGALS1"
1.15351576460531e-227,2.51902749154392,0.958,0.244,1.58193151957972e-223,"1","AIF1"
1.20186200746214e-217,2.90499105726627,0.944,0.352,1.64823355703359e-213,"1","GSTP1"
1.87949467032721e-217,3.63228470463172,0.759,0.127,2.57753899088674e-213,"1","GRN"
1.15136989577697e-216,2.60766533495197,0.923,0.312,1.57898867506854e-212,"1","GPX1"
2.11746984598152e-214,2.62451319598768,1,0.987,2.90389814677906e-210,"1","FTL"
2.14446207116407e-206,2.11955558153308,0.996,0.735,2.94091528439441e-202,"1","S100A6"
2.11105398581151e-200,2.21656223831107,1,0.987,2.89509943614191e-196,"1","FTH1"
1.82023318589455e-194,2.03121597458017,0.94,0.229,2.49626779113578e-190,"1","FCER1G"
8.86298742396881e-185,2.35256115717033,0.944,0.429,1.21547009532308e-180,"1","CTSS"
1.82736002637484e-180,2.92014930437,0.709,0.114,2.50604154017046e-176,"1","CD68"
2.69631983466002e-179,3.26965575240882,0.692,0.121,3.69773302125276e-175,"1","CEBPD"
1.23732968512577e-177,1.69579303425167,1,0.771,1.69687393018148e-173,"1","S100A4"
3.25918395993117e-173,3.11013917996831,0.715,0.142,4.46964488264961e-169,"1","LGALS3"
1.51637999584409e-172,2.5157793067364,0.879,0.315,2.07956352630058e-168,"1","NPC2"
2.83230066658763e-172,2.98521278153695,0.765,0.194,3.88421713415828e-168,"1","AP1S2"
2.0191570641959e-170,1.47549275647623,0.996,0.893,2.76907199783825e-166,"1","OAZ1"
1.73200868090269e-167,3.94893142120716,0.543,0.058,2.37527670498995e-163,"1","CDA"
1.88510648686425e-167,2.15036734994665,0.923,0.417,2.58523503608563e-163,"1","PSAP"
4.22873877280671e-167,2.06213079665656,0.95,0.432,5.79929235302712e-163,"1","S100A11"
5.36923049556574e-163,2.04012210047232,0.967,0.507,7.36336270161886e-159,"1","SAT1"
1.36513602109217e-161,3.61308635595636,0.588,0.084,1.8721475393258e-157,"1","NCF2"
1.77416180028343e-161,2.97792082799547,0.647,0.11,2.4330854929087e-157,"1","CFP"
2.66151064184804e-158,4.41138111519662,0.464,0.038,3.6499956942304e-154,"1","CSF3R"
3.62721167496719e-156,1.78126380048263,0.973,0.553,4.97435809105e-152,"1","COTL1"
1.15809948460205e-155,3.64667575556781,0.551,0.075,1.58821763318325e-151,"1","BLVRB"
5.49651632492688e-155,2.50038529064361,0.711,0.143,7.53792248800472e-151,"1","SERPINA1"
1.5218947486486e-150,5.68257639011747,0.37,0.015,2.08712645829669e-146,"1","ASGR1"
1.0958955413135e-149,3.6945311328959,0.514,0.062,1.50291114535733e-145,"1","NUP214"
3.28727066550515e-147,2.12431766303886,0.875,0.404,4.50816299067377e-143,"1","GABARAP"
4.26285223656154e-146,3.82355703305795,0.441,0.038,5.84607555722049e-142,"1","ALDH2"
1.66506526102096e-145,3.09364877832443,0.653,0.14,2.28347049896414e-141,"1","FCGRT"
1.2440950074812e-142,2.80742993697074,0.555,0.079,1.70615189325971e-138,"1","IFI30"
1.34748769573015e-142,1.35707441936779,0.99,0.815,1.84794462592433e-138,"1","CYBA"
8.98120071391941e-140,4.09853452649509,0.426,0.038,1.23168186590691e-135,"1","FPR1"
7.07037457772656e-139,7.28084188073784,0.299,0.004,9.6963116958942e-135,"1","FOLR3"
6.83261973681971e-138,2.08558777225033,0.809,0.274,9.37025470707456e-134,"1","PYCARD"
1.16346799991082e-137,2.30712259370332,0.782,0.255,1.5955800150777e-133,"1","TKT"
1.7212917218877e-135,2.54042968037233,0.632,0.121,2.36057946739679e-131,"1","SPI1"
1.67340011301697e-130,2.0847869103892,0.852,0.348,2.29490091499147e-126,"1","RAC1"
3.08553674221334e-128,2.14220403542845,0.848,0.395,4.23150508827138e-124,"1","TSPO"
1.48054812146996e-125,3.36644815969521,0.47,0.063,2.03042369378391e-121,"1","SLC7A7"
6.65417118944552e-125,4.98273687068265,0.312,0.013,9.12553036920558e-121,"1","RBP7"
8.26900734217464e-125,2.70209524242521,0.588,0.12,1.13401166690583e-120,"1","BRI3"
1.2652974545591e-121,3.45363940677574,0.507,0.085,1.73522892918234e-117,"1","TNFSF13B"
3.38074411674564e-121,6.73772996912494,0.277,0.006,4.63635248170497e-117,"1","S100A12"
1.68199809214967e-119,3.79946649651692,0.403,0.043,2.30669218357406e-115,"1","IGSF6"
1.27259272928079e-118,2.21340687462864,0.624,0.137,1.74523366893568e-114,"1","IFITM3"
5.88003957903417e-115,3.00834571607411,0.526,0.103,8.06388627868745e-111,"1","RNF130"
1.11624758991252e-113,1.32972913597449,0.969,0.825,1.53082194480602e-109,"1","GAPDH"
1.66443538158514e-113,1.90709074259518,0.755,0.285,2.28260668230586e-109,"1","TALDO1"
5.25093806681223e-113,3.86807777953657,0.37,0.036,7.20113646482629e-109,"1","VCAN"
5.38074148055671e-112,4.50574310919979,0.316,0.02,7.37914886643548e-108,"1","BST1"
4.17859644286104e-109,3.31355597415424,0.424,0.06,5.73052716173963e-105,"1","MNDA"
4.33354206103722e-109,4.39129198373733,0.343,0.031,5.94301958250644e-105,"1","PLBD1"
3.86392440191849e-108,3.35979555718909,0.422,0.059,5.29898592479101e-104,"1","APOBEC3A"
1.58281331375213e-100,2.69295597902593,0.501,0.105,2.17067017847967e-96,"1","CTSH"
8.28271499401094e-100,1.90413199942694,0.773,0.321,1.13589153427866e-95,"1","IFI6"
3.0018029092381e-99,2.78488997344953,0.53,0.127,4.11667250972913e-95,"1","CTSB"
1.75454335016592e-98,1.48318471539689,0.917,0.578,2.40618075041754e-94,"1","NEAT1"
2.46770962361495e-97,3.42106285496039,0.385,0.056,3.38421697782554e-93,"1","CPVL"
9.03458245865827e-95,3.28147799073904,0.393,0.061,1.2390026383804e-90,"1","ODF3B"
6.5916250926821e-94,1.98408958229343,0.701,0.276,9.03975465210423e-90,"1","AP2S1"
2.70185230328089e-90,3.3376220557429,0.36,0.051,3.70532024871941e-86,"1","TGFBI"
4.4168269200125e-89,3.39416610966406,0.356,0.05,6.05723643810514e-85,"1","SMCO4"
7.14796881695018e-89,2.81685747044222,0.385,0.061,9.80272443556548e-85,"1","LILRA5"
6.47784665500733e-87,4.12326996534885,0.266,0.021,8.88371890267705e-83,"1","TMEM176B"
2.51695919665723e-86,0.915925548117738,0.973,0.833,3.45175784229573e-82,"1","SH3BGRL3"
5.150240142066e-85,0.839204268986212,0.942,0.475,7.06303933082931e-81,"1","HLA-DRA"
1.32437146689656e-84,3.89122704382419,0.281,0.027,1.81624302970194e-80,"1","CD33"
3.18985506951751e-84,3.73767511032848,0.308,0.037,4.37456724233631e-80,"1","RAB32"
6.90147284229936e-81,1.20772692584294,0.927,0.708,9.46467985592934e-77,"1","ARPC1B"
5.22179944632407e-79,1.60175735007553,0.761,0.365,7.16117576068884e-75,"1","ANXA2"
5.55335377295498e-79,0.578948434942592,1,0.992,7.61586936423047e-75,"1","TMSB10"
1.50097392330303e-78,1.58849693449511,0.736,0.312,2.05843563841778e-74,"1","C1orf162"
8.63153988185921e-78,2.87418510262946,0.393,0.076,1.18372937939817e-73,"1","STX11"
9.26765768165757e-78,4.32969904752017,0.277,0.031,1.27096657446252e-73,"1","IL8"
1.65269252359066e-76,2.0824296739991,0.538,0.165,2.26650252685223e-72,"1","CAPG"
4.8681519543014e-76,1.95454391850545,0.599,0.206,6.67618359012895e-72,"1","RGS2"
2.67186667864577e-75,1.64036604885417,0.665,0.248,3.66419796309481e-71,"1","CEBPB"
1.34219879045237e-74,2.94468011542361,0.36,0.067,1.84069142122638e-70,"1","PLAUR"
1.60016862673722e-74,1.15822885239166,0.873,0.538,2.19447125470743e-70,"1","SRGN"
5.06979747991593e-74,1.15414938994541,0.921,0.775,6.95272026395671e-70,"1","VIM"
5.28637415336757e-74,2.12367698961975,0.484,0.127,7.24973351392829e-70,"1","LY86"
6.92344424587671e-74,2.90701281602692,0.36,0.067,9.49481143879532e-70,"1","KLF4"
7.09187227660007e-73,2.53499602808121,0.414,0.095,9.72579364012934e-69,"1","AGTRAP"
1.44279590117689e-72,2.09107720285042,0.651,0.268,1.97865029887399e-68,"1","ATP6V0B"
8.0773334579447e-71,2.84145459005172,0.389,0.085,1.10772551042254e-66,"1","CCL3"
1.33086872851868e-70,0.938287802238718,0.944,0.789,1.82515337429052e-66,"1","ARPC3"
1.58966539545968e-70,3.81224201810625,0.274,0.036,2.1800671233334e-66,"1","IL1B"
2.65417334272433e-68,2.99829718646688,0.32,0.056,3.63993332221215e-64,"1","C19orf38"
4.7738308084665e-68,2.69570579517908,0.455,0.126,6.54683157073095e-64,"1","BLVRA"
6.22814992917786e-68,0.953469980692874,0.933,0.798,8.54128481287451e-64,"1","ATP5G2"
5.60462347407223e-67,2.73670516347902,0.326,0.059,7.68618063234265e-63,"1","MSRB1"
6.78197825605592e-67,1.00644449025684,0.832,0.377,9.30080498035508e-63,"1","HLA-DRB1"
3.13385936092933e-66,2.54996324880931,0.333,0.064,4.29777472757848e-62,"1","CTSZ"
2.51862311326683e-65,1.29628363134354,0.844,0.597,3.45403973753413e-61,"1","S100A10"
3.90183104411925e-65,2.3038393329414,0.572,0.215,5.35097109390514e-61,"1","LINC00936"
1.17570696676092e-64,1.75015295524838,0.501,0.153,1.61236453421592e-60,"1","FGR"
4.07244847617434e-62,1.48879336449225,0.748,0.408,5.58495584022549e-58,"1","PRELID1"
1.90094162934921e-61,2.67074727676161,0.333,0.07,2.6069513504895e-57,"1","PGD"
1.84089636007094e-60,1.97998493650696,0.393,0.096,2.52460526820128e-56,"1","HCK"
4.8793106187329e-60,3.33749442136089,0.293,0.055,6.6914865825303e-56,"1","MAFB"
5.25049510651772e-60,1.92416761902243,0.516,0.181,7.2005289890784e-56,"1","CTSD"
6.36597481945459e-60,2.95961194854937,0.347,0.077,8.73029786740003e-56,"1","FGL2"
1.49000486537602e-59,2.77688392974289,0.314,0.063,2.04339267237668e-55,"1","MPEG1"
2.52744973373607e-59,0.717846839152094,0.979,0.939,3.46614456484565e-55,"1","MT-ND1"
2.95645562687829e-59,0.86620646651225,0.956,0.834,4.05448324670088e-55,"1","SERF2"
4.25903666262532e-59,1.54047805980622,0.721,0.397,5.84084287912436e-55,"1","NFKBIA"
